old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU00030000,Appingedam-Centrum,BU19791149,Centrum-Appingedam,30.0,8,1,split
BU00030001,Appingedam-West,BU19791469,Buitengebied Noord-Appingedam,38.1,9,3,merged
BU00030002,Appingedam-Oost,BU19791256,Opwierde Noord,19.4,14,1,split
BU00030007,Verspreide huizen Damsterdiep en Eemskanaal,BU19791469,Buitengebied Noord-Appingedam,84.0,10,3,merged
BU00030008,Verspreide huizen ten zuiden van Eemskanaal,BU19791572,Buitengebied Zuid-Appingedam,81.1,7,1,split
BU00030009,Verspreide huizen ten noorden van het Damsterdiep,BU19791469,Buitengebied Noord-Appingedam,94.1,5,3,merged
BU00050000,Bedum,BU19660809,Bedum Noord - West,32.8,6,1,split
BU00050001,Verspreide huizen Bedum,BU19660802,Buitengebied Bedum,93.7,7,2,merged
BU00050002,Zuidwolde,BU19660803,Zuidwolde,55.7,2,1,split
BU00050003,Verspreide huizen Zuidwolde,BU19660801,Buitengebied Noord- en Zuidwolde,99.5,4,2,recoded (gemeente change)
BU00050004,Onderdendam,BU19660810,Onderdendam,56.3,2,1,split
BU00050005,Verspreide huizen Onderdendam,BU19660802,Buitengebied Bedum,99.9,4,2,recoded (gemeente change)
BU00050006,Noordwolde,BU19660804,Noordwolde,63.6,2,1,split
BU00050007,Verspreide huizen Noordwolde,BU19660801,Buitengebied Noord- en Zuidwolde,95.6,3,2,merged
BU00070000,Bellingwolde,BU19500000,Bellingwolde,100.0,1,1,recoded (gemeente change)
BU00070001,Vriescheloo,BU19500001,Vriescheloo,100.0,1,1,recoded (gemeente change)
BU00070002,Rhederweg-West,BU19500002,Rhederweg-West,100.0,1,1,recoded (gemeente change)
BU00070004,Vriescheloo-Zuid,BU19500004,Vriescheloo-Zuid,100.0,1,1,recoded (gemeente change)
BU00070005,Oudeschans,BU19500005,Oudeschans,100.0,1,1,recoded (gemeente change)
BU00070006,Klein-Ulsda,BU19500006,Klein-Ulsda,100.0,1,1,recoded (gemeente change)
BU00070007,Verspreide huizen ten zuidoosten van Bellingwolde,BU19500007,Verspreide huizen ten zuidoosten van Bellingwolde,100.0,1,1,recoded (gemeente change)
BU00070008,Verspreide huizen ten zuidoosten van Vriescheloo,BU19500008,Verspreide huizen ten zuidoosten van Vriescheloo,100.0,1,1,recoded (gemeente change)
BU00070009,Verspreide huizen Westerwoldse A,BU19500009,Verspreide huizen Westerwoldse A,100.0,1,1,recoded (gemeente change)
BU00070100,Veelerveen,BU19500100,Veelerveen,100.0,1,1,recoded (gemeente change)
BU00070101,Rhederbrug-Oost,BU19500101,Rhederbrug-Oost,100.0,1,1,recoded (gemeente change)
BU00070108,Verspreide huizen ten noordoosten van Rhederbrug,BU19500108,Verspreide huizen ten noordoosten van Rhederbrug,100.0,2,1,recoded (gemeente change)
BU00070109,Verspreide huizen Veelerveen,BU19500109,Verspreide huizen Veelerveen,100.0,1,1,recoded (gemeente change)
BU00070200,Blijham,BU19500200,Blijham,100.0,1,1,recoded (gemeente change)
BU00070201,Morige,BU19500201,Morige,100.0,1,1,recoded (gemeente change)
BU00070202,Wedde,BU19500202,Wedde,100.0,1,1,recoded (gemeente change)
BU00070203,Wedderheide,BU19500203,Wedderheide,100.0,1,1,recoded (gemeente change)
BU00070204,Wedderveer,BU19500204,Wedderveer,100.0,1,1,recoded (gemeente change)
BU00070206,Verspreide huizen in de polder Blijham,BU19500206,Verspreide huizen in de polder Blijham,100.0,1,1,recoded (gemeente change)
BU00070207,Verspreide huizen ten westen van Blijham,BU19500207,Verspreide huizen ten westen van Blijham,100.0,1,1,recoded (gemeente change)
BU00070208,Verspreide huizen Hoorn,BU19500208,Verspreide huizen Hoorn,100.0,1,1,recoded (gemeente change)
BU00070209,Verspreide huizen in de Weddermarke,BU19500209,Verspreide huizen in de Weddermarke,100.0,1,1,recoded (gemeente change)
BU00090000,Ten Boer,BU00141500,Ten Boer Dorp,88.8,4,1,split
BU00090001,Garmerwolde,BU00141502,Garmerwolde,100.0,1,1,recoded (gemeente change)
BU00090002,Thesinge,BU00141503,Thesinge,100.0,1,3,recoded (gemeente change)
BU00090003,Sint-Annen,BU00141504,Sint Annen,100.0,1,1,recoded (gemeente change)
BU00090005,Achter-Thesinge en Bovenrijge,BU00141503,Thesinge,76.4,3,3,merged
BU00090009,Verspreide huizen ten noorden van het Eemskanaal,BU00141503,Thesinge,32.5,10,3,merged
BU00090100,Ten Post,BU00141600,Ten Post Dorp,74.6,2,1,split
BU00090101,Winneweer (gedeeltelijk),BU00141603,Winneweer,100.0,1,1,recoded (gemeente change)
BU00090102,Woltersum,BU00141602,Woltersum,100.0,1,1,recoded (gemeente change)
BU00090104,Wittewierum,BU00141604,Wittewierum,61.4,2,1,split
BU00090106,Lellens,BU00141601,Lellens,100.0,1,1,recoded (gemeente change)
BU00090109,Verspreide huizen ten noorden van het Eemskanaal,BU00141605,Buitengebied Ten Post,60.7,10,1,split
BU00100000,Delfzijl-Centrum,BU19790831,Oosterhorn,68.2,6,2,merged
BU00100001,Farmsum,BU19790309,Koveltemp,41.9,12,1,split
BU00100002,Delfzijl-Noord,BU19790626,Bornholm,29.6,11,1,split
BU00100003,Delfzijl-West,BU19790203,Scheepvaartbuurt,32.4,16,1,split
BU00100004,Fivelzigt,BU19790518,Fivelmonde,67.2,10,1,split
BU00100005,Tuikwerd,BU19791016,Eelwerd,21.4,16,1,split
BU00100103,Meedhuizen,BU19790932,Meedhuizen,52.7,2,1,split
BU00100104,Uitwierde,BU19790739,Buitengebied Noord-Bierum,67.0,2,6,merged
BU00100107,Verspreide huizen Eemskanaal (ten zuiden),BU19790945,Buitengebied Zuid-Termunten,99.2,4,5,recoded (gemeente change)
BU00100108,Industrieterrein,BU19790831,Oosterhorn,87.5,5,2,merged
BU00100109,Verspreide huizen in het noorden,BU19790739,Buitengebied Noord-Bierum,95.5,5,6,merged
BU00100200,Woldendorp,BU19790943,Woldendorp,50.3,2,1,split
BU00100201,Termunten,BU19790945,Buitengebied Zuid-Termunten,52.9,3,5,merged
BU00100202,Termunterzijl,BU19790941,Termunterzijl,66.2,2,1,split
BU00100203,Borgsweer,BU19790945,Buitengebied Zuid-Termunten,56.2,2,5,merged
BU00100205,Wagenborgen,BU19790944,Wagenborgen,66.7,2,1,split
BU00100207,Verspreide huizen Wagenborgen,BU19790945,Buitengebied Zuid-Termunten,98.8,2,5,merged
BU00100209,Verspreide huizen Termunten,BU19790945,Buitengebied Zuid-Termunten,99.4,8,5,recoded (gemeente change)
BU00100300,Bierum,BU19790739,Buitengebied Noord-Bierum,51.9,2,6,merged
BU00100301,Spijk,BU19790738,Spijk,59.9,2,1,split
BU00100302,Holwierde,BU19790733,Holwierde,54.4,2,1,split
BU00100303,Godlinze,BU19790735,Godlinze,58.5,2,1,split
BU00100304,Losdorp,BU19790739,Buitengebied Noord-Bierum,60.0,2,6,merged
BU00100305,Krewerd,BU19790739,Buitengebied Noord-Bierum,79.7,2,6,merged
BU00100309,Verspreide huizen Bierum,BU19790739,Buitengebied Noord-Bierum,99.6,8,6,recoded (gemeente change)
BU00109998,,BU19799998,Buitenwater,99.8,6,1,recoded (gemeente change)
BU00140000,Binnenstad-Noord,BU00140000,Binnenstad-Noord,100.0,1,1,unchanged
BU00140001,Binnenstad-Zuid,BU00140001,Binnenstad-Zuid,100.0,1,1,unchanged
BU00140002,Binnenstad-Oost,BU00140002,Binnenstad-Oost,100.0,1,1,unchanged
BU00140003,Binnenstad-West,BU00140003,Binnenstad-West,100.0,1,1,unchanged
BU00140004,Noorderplantsoen,BU00140004,Noorderplantsoen,100.0,1,1,unchanged
BU00140005,Hortusbuurt,BU00140005,Hortusbuurt-Ebbingekwartier,100.0,1,2,unchanged
BU00140006,Ebbingekwartier,BU00140005,Hortusbuurt-Ebbingekwartier,100.0,1,2,recoded
BU00140007,UMCG,BU00140007,UMCG,100.0,1,1,unchanged
BU00140008,Stationsgebied,BU00140008,Stationsgebied,100.0,1,1,unchanged
BU00140100,De Meeuwen,BU00140100,De Meeuwen,100.0,1,1,unchanged
BU00140101,Oosterpoort,BU00140101,Oosterpoort,100.0,1,1,unchanged
