obs_year,vintage_at_time,vintage_ref,n_points,n_changed,pct_changed,n_gemeente_changed
2005,2015,2025,2143,956,44.61,250
2006,2015,2025,2114,916,43.33,264
2007,2015,2025,2116,923,43.62,240
2008,2015,2025,2094,938,44.79,237
2009,2015,2025,2162,966,44.68,250
2010,2015,2025,2125,958,45.08,235
2011,2015,2025,2122,946,44.58,271
2012,2015,2025,2051,911,44.42,233
2013,2015,2025,2044,926,45.30,235
2014,2015,2025,2084,917,44.00,223
2015,2015,2025,2076,942,45.38,218
2016,2015,2025,2103,929,44.17,232
2017,2015,2025,2069,906,43.79,238
2018,2015,2025,2052,914,44.54,239
2019,2015,2025,2193,990,45.14,277
2020,2020,2025,2126,409,19.24,66
2021,2020,2025,2073,365,17.61,55
2022,2020,2025,2128,414,19.45,58
2023,2020,2025,2098,414,19.73,64
2024,2020,2025,2133,407,19.08,67
2025,2025,2025,2078,0,0.00,0
